"","patient","polar_ 1","polar_ 2","polar_ 3","polar_ 4","polar_ 5","polar_ 6","polar_ 7","polar_ 8","polar_ 9","polar_ 10","polar_ 11","polar_ 12","polar_ 13","polar_ 14","polar_ 15","polar_ 16","polar_ 17","polar_ 18","polar_ 19","polar_ 20","polar_ 21","polar_ 22","polar_ 23","polar_ 24","polar_ 25","polar_ 26","polar_ 27","polar_ 28","polar_ 29","polar_ 30","polar_ 31","polar_ 32","polar_ 33","polar_ 34","polar_ 35","polar_ 36","polar_ 37","polar_ 38","polar_ 39","polar_ 40","polar_ 41","polar_ 42","polar_ 43","polar_ 44","polar_ 45","polar_ 46","polar_ 47","polar_ 48","polar_ 49","polar_ 50","polar_ 51","polar_ 52","polar_ 53","polar_ 54","polar_ 55","polar_ 56","polar_ 57","polar_ 58","polar_ 59","polar_ 60","polar_ 61","polar_ 62","polar_ 63","polar_ 64","polar_ 65","polar_ 66","polar_ 67","polar_ 68","polar_ 69","polar_ 70","polar_ 71","polar_ 72","polar_ 73","polar_ 74","polar_ 75","polar_ 76","polar_ 77","polar_ 78","polar_ 79","polar_ 80","polar_ 81","polar_ 82"
"11",11,21,26,36,51,63,76,92,145,137,134,225,201,331,346,437,359,568,488,720,546,688,826,746,948,1164,1105,929,1116,1142,1354,989,1945,1814,2042,1350,2399,2632,2139,2684,3061,2330,1807,2035,3876,3692,3483,3900,4478,4790,3506,3809,4060,5165,3842,3594,3535,6070,5238,5550,6409,7037,5483,5096,6690,6249,7939,6652,6929,8582,9432,5639,7164,9580,10291,5919,10801,9242,8716,8269,12270,11401,9757
"12",12,21,25,36,51,47,63,108,90,118,161,226,271,243,307,372,379,585,435,740,460,822,935,1009,1016,1095,1271,1007,1342,1272,1755,1119,1910,1368,2196,1621,2014,2429,2893,1692,2527,2769,2139,3534,1964,2403,2442,4257,4627,3852,4308,4856,2753,4834,4544,4550,5797,6346,4504,6903,4246,4640,6171,5491,7226,5276,5951,8759,6312,5703,6779,8726,5331,8519,9485,9007,7280,6517,10639,9946,8864,9561,7974
"13",13,21,26,36,40,50,77,90,123,137,190,202,269,211,316,384,414,324,649,532,742,690,875,846,872,1197,1187,843,1483,1040,1223,1717,1612,1861,1858,1783,2160,1551,1671,2811,2378,2809,3408,2731,2466,3801,3914,2809,4496,4497,4018,3133,4725,5123,5218,4043,5683,3431,3851,3512,6684,4341,4328,6038,5103,4314,5193,7298,8731,5046,5497,6488,6923,8809,10412,9316,6137,6056,6884,8558,10806,8989,7027
"14",14,21,24,33,37,70,88,115,102,142,193,234,176,193,314,281,388,403,482,556,540,554,775,1070,607,1264,1258,1079,987,1344,1224,1905,1837,1598,2091,1997,2443,1983,2480,2338,2112,2490,1948,2338,3461,3490,4062,4248,2810,2685,3281,3448,4075,4334,3882,5065,3334,6499,3560,5939,5704,7036,5790,7305,6870,5274,4562,4879,5187,8587,7407,8467,7504,6156,9705,9038,10695,6037,9511,8660,10638,13060,9430
"15",15,21,24,30,50,59,65,76,146,135,153,243,220,328,216,459,478,455,356,385,433,660,945,715,987,1180,765,765,1190,1074,1015,1538,1346,1168,1464,1770,1553,1526,1487,2213,1720,2980,2405,2707,3858,3648,3205,3264,2914,2960,2940,4175,4843,4310,3336,4102,4702,5028,6449,4302,3748,4319,7284,7440,5992,4695,7283,8539,7755,7470,5914,7517,8089,8805,8929,6764,7977,7853,12036,10789,8265,11946,7175
"16",16,22,27,33,47,65,62,94,90,160,143,234,235,237,321,438,460,380,419,616,599,882,703,850,933,1263,1156,1117,1188,1492,1073,1358,1325,1654,1733,2274,2436,2400,2478,2524,2891,2641,3339,3674,3585,2328,3766,2781,2901,2555,4025,2670,3073,4546,5378,4808,5175,3924,5539,5578,4139,5128,6436,7222,7649,6796,6763,7939,6392,8570,9175,9521,9955,9763,7311,9462,9264,10477,11352,7281,8291,7235,11090
"17",17,22,26,36,40,56,57,80,109,157,132,225,290,242,324,269,427,362,413,465,476,583,565,895,1055,870,1142,826,1299,1446,1541,1472,1736,1297,1604,1401,1625,2107,2063,2026,1853,3381,2193,3381,3483,3832,3761,2345,2594,2945,4510,3987,5082,4545,3552,5862,3353,4370,5319,4846,4598,6380,6393,7208,6879,6370,4812,6783,6759,7657,6681,7795,8062,5519,7931,8664,7883,9223,6504,11470,9710,7802,6866
"18",18,22,24,33,50,60,80,88,146,180,214,175,285,220,248,382,387,343,629,391,425,522,790,614,882,756,815,1156,1411,1131,1736,1320,1655,1955,1674,1547,1460,2479,2897,2809,3002,2408,2682,3203,3753,3149,4140,2558,3919,4224,4168,4104,3455,3544,5730,3162,4757,5983,5994,3910,6562,7402,7566,4342,6852,6077,4553,7226,5581,5599,5394,8274,6928,7417,8123,6077,7464,6035,12103,9721,11548,12449,12175
"19",19,22,28,37,40,70,75,108,91,165,127,233,266,220,397,462,505,469,434,471,523,527,747,653,1080,884,747,1032,1190,1668,1407,1878,1962,1679,1586,1664,2273,2288,2563,2143,2704,1797,3104,3629,2893,2225,4010,4207,3264,3977,3508,2811,5056,5507,3770,3834,3193,4947,6707,4022,6565,3780,6282,6554,6510,5558,8331,7525,8103,6137,9628,5850,10277,10590,6050,10655,8778,9666,9105,9103,11385,12062,6815
"20",20,21,26,37,51,49,74,118,145,153,126,247,193,313,331,457,460,444,528,581,631,696,568,888,613,1005,1343,767,1180,1359,1128,1893,1305,1833,1880,2406,1788,1928,1761,2119,2226,1752,2384,2560,3051,3299,4077,2629,4017,4822,2993,4691,3377,3308,5151,4994,6154,5708,6245,4547,6029,4795,4510,5377,6543,6145,7466,8539,5529,7135,8730,8499,10255,9781,9613,8499,9521,10062,10098,9855,8401,6785,10545
"21",21,21,24,36,52,53,68,99,136,138,146,179,284,235,348,425,442,372,497,519,601,873,596,639,615,801,708,1348,822,1059,1035,1106,1943,1872,1678,2053,2055,1551,1966,1959,2242,2166,3090,2527,3024,2316,2792,3666,3711,2977,3297,3321,5210,2977,2975,4288,5387,3903,4079,5446,6163,6236,6955,5559,4183,7920,6012,6169,8047,5249,5811,8103,8789,7033,10464,8766,6375,9975,7779,8363,10622,11117,8571
"22",22,21,28,34,46,66,62,83,146,166,205,185,197,269,240,343,531,334,344,527,584,602,873,855,621,1161,952,791,906,1423,1059,1250,1264,1469,1906,2250,2058,2467,1580,2220,2488,2323,2715,3065,3364,2528,2878,2372,3858,3860,4727,3123,5403,3259,4329,3714,4127,6251,3406,3817,5596,4535,6493,6681,7600,5246,5039,7255,5949,8994,8614,9124,5257,8684,7154,6477,10726,8911,9969,8150,6664,10508,9627
"23",23,21,28,30,51,54,71,74,131,147,201,174,234,237,395,374,508,361,351,489,812,598,552,840,702,903,916,877,828,1495,954,1569,1063,1159,1627,2248,1339,1554,1652,2290,1961,1730,2780,1890,3876,3552,2580,2229,2471,3219,2532,3612,3928,2877,5192,3820,4222,6281,4906,6575,5389,4523,6776,4336,8146,4870,6005,6959,7523,7968,9267,7203,10256,7582,9871,9916,10285,10497,9597,10433,10996,12231,12654
"24",24,21,25,37,49,65,67,84,105,166,148,189,195,199,255,406,453,455,518,739,645,634,869,881,641,738,1270,1397,1434,1150,1418,1669,2003,1842,1270,1447,2478,1612,1657,2340,2823,1976,2404,3316,3156,2431,3832,3234,3443,3861,4784,2697,5200,3678,5189,5966,5018,6406,4672,4162,4131,4036,5485,7123,5589,7040,7781,7206,4854,7138,8272,7642,7530,9176,8434,10242,8666,9504,11775,10057,7055,9632,11248
"25",25,21,25,36,36,70,69,90,145,114,148,235,247,256,216,430,276,436,545,509,739,461,780,779,1049,648,1182,1073,1202,1302,1336,1344,1960,2130,1979,1889,1711,2102,1582,2710,2157,2074,3324,2458,2872,3098,3116,3908,3949,2715,2681,4770,4455,2924,5293,5529,6250,4798,5133,4704,5867,6160,3908,4540,6918,5248,6221,6114,8913,6371,5082,5155,9617,10509,7793,6817,9999,7565,11884,9979,10101,9560,8635
"26",26,21,26,34,51,70,84,89,131,126,204,180,182,308,339,467,316,415,568,434,665,854,699,607,665,1185,771,1086,1033,1309,1820,1104,1387,1840,2148,2438,1773,2041,1586,2595,3042,2630,3019,3632,2729,2484,3457,3775,2334,4145,3446,2684,2760,4549,4916,5359,3781,5997,6610,5473,4387,4940,5145,7368,4800,5734,7120,7775,6700,9359,5079,7488,5947,9371,6174,7314,10430,8477,6509,11386,10623,10095,7405
"27",27,22,27,31,48,63,57,72,89,119,211,187,247,275,293,263,344,355,427,632,616,788,754,726,822,776,1314,880,1390,1657,960,1433,1150,2197,1451,1826,2535,1981,1648,2374,3160,2376,2643,2213,3383,2617,2340,2891,2607,4195,3906,4300,4357,3321,4357,4836,5658,3554,6596,6252,3650,6199,5946,4543,6124,6001,6098,7401,7621,8708,8858,7329,6504,10535,7428,10978,6327,9925,7748,12385,7743,11733,8475
"28",28,21,26,34,47,61,76,79,93,135,169,179,167,266,221,316,471,413,502,388,421,611,920,896,896,940,1171,1097,1457,1081,1712,1147,1880,2173,1203,1581,1756,1408,2466,2890,2140,2873,2042,2639,3466,3994,3391,3839,2970,4634,4062,4068,4922,3903,3485,3904,3382,5918,4904,3571,6642,3816,6496,6986,6015,7903,7588,5783,5127,6295,9117,7035,5906,9057,10394,10472,10898,8384,11143,7289,7603,10942,7482
"29",29,21,24,36,40,70,69,106,95,114,145,146,304,249,263,351,305,339,483,588,752,787,535,1024,1140,946,1201,1429,1514,1376,1432,1291,1542,1507,1776,2215,2252,1633,1776,1573,3033,2997,3121,1978,2929,3941,2808,3423,4380,3413,4396,3719,4260,5080,5453,4834,3443,5247,5821,6683,6681,4980,6866,5913,7438,4857,4873,5543,6730,8943,5412,5937,7974,9730,5940,9084,8292,11687,9265,11434,7577,8722,11145
"30",30,22,24,38,44,66,88,94,110,137,220,250,275,305,369,274,344,313,501,411,803,790,559,707,1158,1082,946,772,1387,1239,1799,1498,1283,2115,2135,2106,1499,2261,2731,1734,2168,3226,2264,3367,2202,3187,2312,2948,4318,4249,4547,3905,4082,5512,4852,4242,3885,5457,3639,4642,4038,4906,6788,4046,7805,6828,8332,8992,6702,8682,6369,8142,9735,7805,7547,11089,10345,10191,9456,6465,10393,7472,10764
"31",31,22,28,35,45,68,90,91,114,173,152,207,254,319,406,265,306,572,668,569,812,884,554,817,641,963,866,1472,1493,1085,1112,1476,1436,1825,2135,1677,1703,2396,2832,1661,2816,2676,3105,2185,3403,2906,3350,4007,3851,4651,3355,3564,3439,2997,3714,3166,5153,4437,6566,5060,5982,4849,7077,5535,5332,6890,4902,7080,5120,7276,6097,7647,7945,8879,8098,7773,6229,8132,8260,8664,7699,10858,7114
"32",32,22,24,31,49,57,68,70,108,143,126,239,211,319,284,303,348,313,401,559,659,649,559,839,634,1269,1358,843,912,1157,1732,1686,1202,1892,1380,2009,2609,1633,2448,2063,1730,2687,1807,3053,2784,3147,3513,4204,4068,3241,3630,5191,3921,3690,4255,5414,3795,4800,5284,5205,3938,6191,7268,5439,6880,5524,8271,4541,8343,5985,8304,9862,8333,6261,7622,10214,8295,10084,8642,10395,8874,13067,13051
"33",33,21,25,33,51,59,90,104,91,103,145,247,234,256,349,409,432,459,419,413,808,619,797,789,645,1049,980,1168,1493,979,1001,1812,1189,1421,1641,1539,1451,2292,1609,1860,3046,1856,2965,2789,2737,2302,3986,2782,4155,4128,3869,4892,4117,5586,5001,5914,5882,5820,5968,6628,6630,6161,6855,6416,5546,6158,8360,5758,6602,5048,8051,6616,7660,7946,7328,6904,10388,7706,7384,7913,7804,11896,11646
"34",34,22,27,35,43,67,75,106,137,175,169,222,190,254,223,323,470,370,476,541,529,584,844,1004,1047,918,1115,1461,907,1007,1186,1618,1308,1446,1271,1589,1845,2304,2284,2061,2205,2517,2082,3034,3128,2225,2782,3154,3532,2820,4222,4025,3177,4742,5589,5701,6119,4547,3984,5695,6853,6394,7316,4214,7494,7453,5160,7069,6043,6899,8266,5082,8381,8385,10072,10376,8648,9491,7457,7546,8670,11970,13189
"35",35,21,28,34,45,55,84,111,116,117,149,152,240,317,251,271,449,598,530,737,432,828,640,1063,738,1204,1065,974,1195,969,1056,1454,1313,1670,1340,2201,2467,1949,2225,1851,2289,3246,2189,3620,3156,2570,2523,3014,4158,4071,3516,3819,5027,4447,3161,5948,4422,3618,6293,5205,4301,6196,7185,4439,4308,7430,5483,7804,4773,6587,5955,5323,9163,8985,6753,8288,9885,11629,9823,11181,12714,9040,10504
"36",36,21,28,36,37,66,86,76,87,141,187,233,247,250,311,448,380,454,595,533,424,814,910,903,929,656,1025,1350,1345,1585,1515,1073,2048,1229,2061,1506,2225,2702,2135,2318,2139,2028,2097,2964,3291,3542,4193,2246,4127,2903,3455,2817,4022,5265,3683,4118,4808,4140,6703,6448,6181,5335,3967,7842,4177,6942,6828,6200,4793,5417,9484,5197,5998,9397,10369,5646,6786,9823,8525,10697,10612,10814,9468
"37",37,22,27,38,46,58,87,85,90,148,212,238,267,239,307,330,318,321,632,550,557,591,876,598,636,1158,788,963,1260,1596,1657,1851,1373,1603,2327,2469,1675,1930,1961,1757,2150,2161,3455,3350,3449,3222,2546,3826,4008,2673,4337,3023,3079,3187,4373,4254,3562,3303,4755,6076,4888,7232,5607,5142,4167,7969,6667,6993,8859,9057,7567,7204,5955,7129,9918,9502,8395,11148,10313,10861,7751,9480,12761
"38",38,21,25,32,46,62,73,82,86,117,207,143,296,315,412,246,410,322,383,698,469,749,594,773,644,1037,783,925,893,1403,1514,1912,1354,1550,2224,1248,1847,2083,1608,3055,2250,2998,3099,2208,2586,3463,2153,2642,3174,2853,4200,3426,4479,5632,3920,5383,4192,6512,5155,4298,3697,4562,5222,5219,8123,7362,4962,8231,4854,5066,6920,9152,10130,8779,7923,7577,8467,11813,10941,9284,8155,11535,9181
"39",39,22,28,29,48,60,74,104,133,176,170,150,248,303,237,467,406,319,497,650,601,765,758,608,596,770,1264,837,1551,1308,969,1390,1435,2111,1411,2237,1731,2228,2758,2878,2456,3281,2619,3088,2629,2251,3611,4135,3905,3398,3269,3044,4901,4966,3006,4294,5877,6470,4286,6246,4941,4332,4616,4528,5107,5556,8062,7785,6440,5481,7164,7068,9485,8085,9481,7124,8422,7986,9833,7157,10320,12275,12878
"40",40,22,28,31,52,69,89,71,100,111,173,220,221,306,406,386,402,480,467,662,691,630,912,1074,1156,1175,1034,1020,1000,1000,1508,1034,1089,1487,1810,2116,1641,1505,1946,2452,2797,3193,2765,2419,3416,3740,2243,3947,3732,3227,3603,3182,4746,5156,4522,6003,4593,3938,5923,6082,4014,4665,5134,6735,7464,5702,8551,5675,4747,8982,9706,9471,6083,6312,10291,10214,6931,7686,9274,12234,11017,13133,8786
"41",41,22,25,34,39,54,67,113,98,133,178,230,176,248,296,430,395,400,411,675,440,641,770,1069,814,1040,698,821,1250,1255,1093,1178,1599,1333,2197,1452,1948,2052,1968,1565,3088,1856,1929,2815,2026,3850,4052,3030,3031,4688,3593,4454,5390,2848,4145,4043,4862,3807,4499,5784,4502,6425,4890,5807,5382,6312,8036,6247,8577,6129,8396,8518,9534,9505,5516,9101,7329,9076,9523,10576,10916,12855,12972
"42",42,22,27,32,37,54,76,92,95,171,151,151,251,237,272,254,432,317,620,385,516,552,982,695,962,919,1032,994,1080,1429,1370,1209,1153,2145,1965,2052,2184,2017,2543,2952,2514,2200,3428,2705,2248,2681,3927,3827,2515,2969,4541,4026,2923,3938,4438,3697,5332,5736,6313,6972,6418,7431,6041,5648,7632,6520,8032,4712,4994,6223,9364,8856,7376,9891,8253,6892,11193,6543,8240,7098,6662,9549,11495
"43",43,21,27,37,38,64,68,109,130,134,130,238,202,264,224,445,350,514,353,571,594,721,587,982,903,940,1227,953,906,1483,1522,1890,1570,2067,2303,2027,1598,2548,2817,2028,1952,2560,3155,3653,3690,3422,3395,3492,3913,4146,3160,4482,4806,3615,3849,5717,3925,5929,3797,4447,6664,4999,5409,5860,6060,5421,8645,6107,4912,7567,8680,6885,6120,8062,8726,9227,8056,8624,12109,7598,11669,9740,13048
"44",44,22,27,38,52,68,77,90,94,161,198,213,191,230,289,417,374,454,442,720,457,660,918,864,874,940,760,781,1153,1570,1580,1803,1117,1325,2274,1920,2556,2337,2890,2041,2320,2361,1980,2654,3272,2945,4016,3410,2689,3793,4031,4616,4189,5205,3166,3721,4301,5723,4623,5080,5873,6399,6859,5513,8001,4706,4892,7785,5606,6434,8128,9374,9241,8429,7366,5742,9029,8662,6187,10166,11888,11685,11185
"45",45,22,27,35,40,52,65,76,135,149,152,200,203,250,285,453,504,330,500,668,672,881,871,1023,790,1252,997,1172,914,1680,1491,1869,2004,1624,1676,1449,2041,2128,2903,2575,2903,2145,3323,1949,2394,3821,3802,2296,4593,4106,2791,4781,4339,4071,3250,3286,4200,5879,3504,4204,5716,4705,4301,4174,6837,7944,6440,6992,8926,5727,7677,7492,9729,6085,7230,10789,7086,6297,7643,6827,11948,9071,12127
"46",46,22,24,38,43,64,78,113,108,143,161,180,178,307,243,433,470,501,420,720,645,551,792,1047,1043,919,968,1328,878,941,1670,1207,1251,1470,1746,1630,1490,2686,1664,2242,1662,2879,2009,2234,2315,2241,2651,3314,2694,2875,4966,5041,3616,2965,4925,5374,5801,3301,6740,6364,6282,4740,5594,5177,5751,4946,6342,6939,6618,7073,7110,6042,6587,8675,7239,10498,5981,9991,11760,6997,7277,6742,10785
"47",47,22,25,29,45,64,86,115,109,147,211,211,267,203,377,277,378,584,644,552,617,812,745,992,1000,1238,1291,975,1031,1327,1644,1662,1421,1881,1834,1601,1621,1811,2251,2681,1702,2438,2287,2501,2980,3246,3214,2254,3355,3522,3275,4320,4958,2880,5822,5827,4460,6369,3859,6800,4475,7050,4521,6632,4590,6968,5504,5874,7471,5634,7501,5094,5477,8485,10670,9430,8701,9861,11122,11382,6811,10114,12380
"48",48,22,25,37,36,57,86,109,114,123,210,148,298,345,391,372,296,562,483,424,429,597,504,669,970,1083,886,1055,1562,934,1373,1100,1052,1111,2246,1756,1321,1801,1713,1767,1903,3323,3162,3379,3113,3498,2506,3505,3506,2842,2955,4098,4545,3427,3229,6044,6016,3354,6099,4047,6744,4571,7267,5195,6508,5928,6804,5084,6487,9085,6648,8748,10159,8332,5902,8378,11435,9693,10180,11665,9628,11378,6852
"49",49,21,26,29,43,55,89,99,135,115,161,260,177,301,384,283,328,440,512,384,809,821,740,986,733,732,883,885,1411,1578,1618,1002,1713,1854,2106,1806,1365,1573,2055,2550,2027,3062,2767,3120,3593,3408,2526,2419,2672,3494,3019,2750,3139,4623,3592,3877,5696,4593,4272,4151,5183,5269,5843,6869,4461,8043,5891,5035,5709,8096,6297,8372,7931,7778,9518,9416,8033,11240,9286,10681,11246,8044,11111
"50",50,21,28,37,36,52,84,102,119,154,197,165,237,202,234,432,364,320,629,454,471,833,900,936,1035,1046,996,777,1202,1304,1787,1926,1842,1200,1617,2438,2157,1920,1999,2042,2787,2641,2510,1966,2740,2523,3774,3632,3395,2681,4903,4423,4606,3676,4717,5504,5002,4724,6310,5133,4326,6651,5546,7402,5168,4677,6452,8764,6899,7493,6783,5589,9956,5519,5551,6588,7928,8659,12116,12095,10582,10459,9939
"51",51,22,26,33,51,56,71,100,89,141,132,200,303,309,348,421,357,454,518,591,509,595,797,720,1149,1036,1324,794,835,1477,976,1540,1752,1476,1550,1695,1898,2722,2789,2515,2317,3372,2728,1923,2529,2532,3463,3250,3143,4514,3298,3541,5211,4688,5127,4307,5201,5797,4740,6464,4218,6782,3998,5895,6706,5817,7518,7712,6061,8441,7999,5188,9145,5648,7498,6335,6612,10112,10727,6818,11033,11049,12859
"52",52,21,28,30,50,59,91,80,127,163,152,147,205,348,388,336,417,567,403,644,610,500,758,722,631,886,967,1455,1517,1697,1810,1375,1421,2085,1809,1553,2131,1978,2013,3008,2837,2969,3052,3634,3199,2146,2893,2967,2538,2961,4459,4485,5042,4001,3147,5943,5867,3452,5437,4581,4675,4926,7356,4200,5150,7874,5390,5166,8651,5428,8690,6768,6819,8087,8130,10075,9503,10103,11624,10958,9413,7908,13375
"53",53,22,28,34,36,50,59,89,135,174,208,256,243,219,367,250,509,536,629,458,677,842,537,860,1105,703,1234,1153,1238,967,1330,1915,1723,2195,1293,2077,2365,2696,2612,2851,2221,2999,2705,2643,3235,2283,2325,4432,2471,2617,4044,3765,3846,3732,4552,3281,5888,4136,4928,4994,7184,5749,6848,5866,7856,6945,5990,4871,7459,8583,5752,8147,9140,8818,7094,9558,10651,11851,11429,11764,8329,11204,13442
"54",54,22,24,36,47,65,75,76,108,116,191,249,296,334,345,342,462,595,434,527,666,516,902,624,1091,814,1198,847,1133,1662,1640,1438,1444,1392,1513,1383,2024,1947,1847,2612,1680,2330,2409,3382,2453,3429,2312,4247,2682,3934,4662,4493,5248,3380,4387,5718,6000,3796,4340,5108,4330,7108,4851,5870,7971,8312,7481,8108,7205,9141,5364,9898,10058,7828,8999,6773,9952,11305,8675,11919,9625,8144,11741
"55",55,21,28,38,49,47,86,92,136,139,135,221,238,313,380,267,503,513,404,447,484,651,916,911,978,1268,966,1159,1266,1408,1025,1456,1993,1295,1954,2377,2537,1595,2292,2153,2759,2213,2045,3306,2198,3598,2418,2549,3059,3029,3759,4817,4528,4227,5313,3080,6231,4426,4022,3652,4255,4830,5721,5785,7853,6979,6288,7488,5374,4910,5330,8834,7430,6722,9997,10345,6502,8067,7200,8203,10539,12758,10850
"56",56,21,24,32,39,52,82,78,140,136,145,145,185,266,369,367,445,469,495,640,733,888,809,930,1006,856,1325,1111,1003,1007,1701,1256,1092,1615,2052,1425,2394,1407,2675,2784,2343,1832,2173,3524,3852,2183,3923,2971,2416,3175,4349,2690,2751,3357,3242,3089,3238,4498,6174,4859,4536,4950,5618,4799,5628,5516,8105,8567,5321,5662,8984,5963,10338,7863,8418,8617,8988,7874,12008,7458,6484,11839,11366
